Agency;Distribution;Industry;LOB;Master Agency;Office;Pol Eff Yrmo;Pol Proc Yrmo;POL_EFF_Yr;Policy ID;Risk State;Snapshot Date;F23;Issues;New Issued Premium;Number of Records;Quotes;Rateable Manual Premium;Rateable Manual Schedule Premium
L6;Agency Plant;Technology;BOP;Master Agent L;CE;1.05.2019;1.01.2019;2019;104493321;CT;12/31/2019;;1;809,88;1;1;794;809,88
J3;Agency Plant;Retail Trade;BOP;Master Agent J;MW;1.10.2019;1.07.2019;2019;83491258;IL;12/31/2019;;1;3908,08;1;1;4441;3908,08
F3;Agency Plant;Technology;WC;Master Agent F;SE;1.07.2019;1.01.2019;2019;6940720;NC;12/31/2019;;0;;1;1;3203;2754,58
B1;Agency Plant;Wholesale Trade;BOP;Master Agent B;CE;1.11.2019;1.10.2019;2019;27604193;MO;12/31/2019;;1;4465,94;1;1;4751;4465,94
N/A;Direct;Consulting;WC;N/A;NE;1.12.2019;1.09.2019;2019;75263813;NY;12/31/2019;;1;3078,24;1;1;2904;3078,24
E6;Agency Plant;Retail Trade;Auto;Master Agent E;WE;1.09.2019;1.08.2019;2019;26611474;TX;12/31/2019;;0;;1;1;3555;3519,45
S7;Agency Plant;Wholesale Trade;WC;Master Agent S;SE;1.02.2019;1.01.2019;2019;43153381;TX;12/31/2019;;0;;1;1;3733;3098,39
N/A;Direct;Restaurants;WC;N/A;NE;1.09.2019;1.08.2019;2019;1093659;ND;12/31/2019;;0;;1;1;10641;8619,21
P4;Agency Plant;Wholesale Trade;WC;Master Agent P;SE;1.02.2019;1.05.2019;2019;25301993;NJ;12/31/2019;;1;2640,18;1;1;3342;2640,18
N/A;Direct;Restaurants;WC;N/A;WE;1.08.2019;1.02.2019;2019;2351435;CT;12/31/2019;;1;2964,24;1;1;3222;2964,24
N/A;Direct;Restaurants;WC;N/A;MW;1.12.2019;1.05.2019;2019;112103294;AZ;12/31/2019;;0;;1;1;13938;13938
G3;Agency Plant;Finance & Insurance;BOP;Master Agent G;NE;1.01.2019;1.01.2019;2019;52273904;NY;12/31/2019;;0;;1;1;4803;3650,28
B3;Agency Plant;Finance & Insurance;BOP;Master Agent B;CE;1.04.2019;1.08.2019;2019;32793196;FL;12/31/2019;;0;;1;1;5101;4437,87
N/A;Direct;Wholesale Trade;BOP;N/A;WE;1.07.2019;1.07.2019;2019;8555814;TX;12/31/2019;;0;;1;1;5256;4835,52
N3;Agency Plant;Retail Trade;Auto;Master Agent N;MW;1.08.2019;1.08.2019;2019;51463243;IL;12/31/2019;;1;3935,01;1;1;4523;3935,01
N/A;Other;Wholesale Trade;WC;N/A;SE;1.01.2019;1.03.2019;2019;44603987;MD;12/31/2019;;1;8792,56;1;1;8972;8792,56
N/A;Direct;Construction;BOP;N/A;CE;1.10.2019;1.12.2019;2019;20382520;WA;12/31/2019;;0;;1;1;13671;13260,87
C4;Agency Plant;Technology;WC;Master Agent C;WE;1.02.2019;1.08.2019;2019;22904063;SC;12/31/2019;;1;4082,43;1;1;4587;4082,43
L4;Agency Plant;Retail Trade;Auto;Master Agent L;SE;1.02.2019;1.10.2019;2019;13623429;MD;12/31/2019;;1;839,55;1;1;965;839,55
N/A;Direct;Consulting;BOP;N/A;NE;1.04.2019;1.06.2019;2019;69242937;OR;12/31/2019;;0;;1;1;4329;4329
X4;Agency Plant;Construction;BOP;Master Agent X;CE;1.01.2019;1.01.2019;2019;27523436;TX;12/31/2019;;0;;1;1;9681;8906,52
M6;Agency Plant;Consulting;WC;Master Agent M;CE;1.05.2019;1.01.2019;2019;11673707;TX;12/31/2019;;0;;1;1;4280;3809,2
Q7;Agency Plant;Consulting;BOP;Master Agent Q;NE;1.10.2019;1.01.2019;2019;21302052;AL;12/31/2019;;1;6473,5;1;1;6050;6473,5
D5;Agency Plant;Wholesale Trade;WC;Master Agent D;CE;1.05.2019;1.06.2019;2019;99841346;NY;12/31/2019;;0;;1;1;6434;7013,06
N/A;Direct;Finance & Insurance;BOP;N/A;MW;1.08.2019;1.10.2019;2019;43031795;MD;12/31/2019;;1;4839,97;1;1;4699;4839,97
B7;Agency Plant;Retail Trade;BOP;Master Agent B;CE;1.03.2019;1.07.2019;2019;29833567;WI;12/31/2019;;1;1482,74;1;1;1513;1482,74
N/A;Other;Restaurants;BOP;N/A;NE;1.02.2019;1.07.2019;2019;7092417;SC;12/31/2019;;0;;1;1;12451;12201,98
N/A;Direct;Construction;BOP;N/A;NE;1.10.2019;1.09.2019;2019;22474395;PA;12/31/2019;;1;10132,29;1;1;12509;10132,29
J8;Agency Plant;Finance & Insurance;WC;Master Agent J;SE;1.05.2019;1.12.2019;2019;106482124;IA;12/31/2019;;0;;1;1;5320;5798,8
N/A;Direct;Retail Trade;Auto;N/A;NE;1.11.2019;1.12.2019;2019;52431086;WI;12/31/2019;;1;7725,28;1;1;7288;7725,28
F3;Agency Plant;Construction;BOP;Master Agent F;MW;1.09.2019;1.11.2019;2019;21433972;NC;12/31/2019;;0;;1;1;6634;5240,86
C2;Agency Plant;Technology;BOP;Master Agent C;SE;1.07.2019;1.01.2019;2019;35773817;NH;12/31/2019;;1;3233,98;1;1;3334;3233,98
S5;Agency Plant;Technology;WC;Master Agent S;WE;1.07.2019;1.01.2019;2019;83693194;NY;12/31/2019;;1;882,24;1;1;919;882,24
N/A;Other;Restaurants;BOP;N/A;CE;1.05.2019;1.05.2019;2019;8480511;SC;12/31/2019;;1;10432,27;1;1;12569;10432,27
Y5;Agency Plant;Retail Trade;WC;Master Agent Y;NE;1.02.2019;1.01.2019;2019;39253896;TX;12/31/2019;;0;;1;1;6269;4764,44
N/A;Direct;Finance & Insurance;BOP;N/A;SE;1.09.2019;1.08.2019;2019;4211551;TX;12/31/2019;;0;;1;1;3012;2620,44
N/A;Direct;Retail Trade;BOP;N/A;SE;1.11.2019;1.03.2019;2019;88593617;RI;12/31/2019;;0;;1;1;7520;5790,4
I2;Agency Plant;Finance & Insurance;BOP;Master Agent I;MW;1.02.2019;1.03.2019;2019;5845764;FL;12/31/2019;;0;;1;1;4587;3761,34
N/A;Direct;Retail Trade;BOP;N/A;CE;1.09.2019;1.06.2019;2019;5923590;NC;12/31/2019;;0;;1;1;2310;2356,2
N/A;Direct;Consulting;WC;N/A;NE;1.12.2019;1.03.2019;2019;2176871;AL;12/31/2019;;0;;1;1;3092;2566,36
U8;Agency Plant;Finance & Insurance;BOP;Master Agent U;NE;1.07.2019;1.10.2019;2019;7579396;NE;12/31/2019;;1;3254,13;1;1;3287;3254,13
M7;Agency Plant;Real Estate;WC;Master Agent M;WE;1.11.2019;1.11.2019;2019;39272851;WA;12/31/2019;;0;;1;1;14009;11627,47
A1;Agency Plant;Technology;WC;Master Agent A;NE;1.02.2019;1.05.2019;2019;309676;PA;12/31/2019;;0;;1;1;1654;1323,2
K4;Agency Plant;Retail Trade;Auto;Master Agent K;CE;1.06.2019;1.10.2019;2019;30704151;MD;12/31/2019;;0;;1;1;2818;2113,5
J7;Agency Plant;Consulting;Auto;Master Agent J;NE;1.01.2019;1.02.2019;2019;108933318;NJ;12/31/2019;;1;574,5;1;1;766;574,5
T8;Agency Plant;Wholesale Trade;BOP;Master Agent T;SE;1.07.2019;1.09.2019;2019;111833867;UT;12/31/2019;;0;;1;1;4567;4155,97
U2;Agency Plant;Transportation;BOP;Master Agent U;WE;1.01.2019;1.03.2019;2019;18231868;MN;12/31/2019;;0;;1;1;3283;3479,98
F1;Agency Plant;Transportation;Auto;Master Agent F;WE;1.10.2019;1.10.2019;2019;96461913;NJ;12/31/2019;;1;1833,75;1;1;2445;1833,75
N/A;Other;Other;BOP;N/A;MW;1.12.2019;1.04.2019;2019;88514360;FL;12/31/2019;;0;;1;1;2200;1716
E4;Agency Plant;Retail Trade;BOP;Master Agent E;NE;1.10.2019;1.12.2019;2019;101284426;FL;12/31/2019;;0;;1;1;2066;2107,32
M7;Agency Plant;Restaurants;WC;Master Agent M;MW;1.10.2019;1.01.2019;2019;47232788;NJ;12/31/2019;;0;;1;1;4826;4295,14
N/A;Direct;Restaurants;WC;N/A;SE;1.11.2019;1.02.2019;2019;12061121;NC;12/31/2019;;1;1088,8;1;1;1361;1088,8
I8;Agency Plant;Retail Trade;Auto;Master Agent I;SE;1.05.2019;1.10.2019;2019;98963120;VA;12/31/2019;;1;1517,4;1;1;1686;1517,4
N/A;Direct;Construction;BOP;N/A;NE;1.12.2019;1.06.2019;2019;50091619;FL;12/31/2019;;0;;1;1;13774;13774
S2;Agency Plant;Technology;BOP;Master Agent S;NE;1.12.2019;1.08.2019;2019;2613187;CA;12/31/2019;;1;4558,86;1;1;4902;4558,86
O4;Agency Plant;Retail Trade;WC;Master Agent O;NE;1.07.2019;1.11.2019;2019;76311157;OH;12/31/2019;;1;1582,07;1;1;1631;1582,07
N/A;Direct;Restaurants;WC;N/A;WE;1.02.2019;1.10.2019;2019;35714042;UT;12/31/2019;;1;8709,54;1;1;9786;8709,54
N/A;Direct;Real Estate;BOP;N/A;SE;1.05.2019;1.09.2019;2019;22001440;TX;12/31/2019;;1;14743,04;1;1;14176;14743,04
A2;Agency Plant;Retail Trade;WC;Master Agent A;SE;1.09.2019;1.03.2019;2019;1781200;NC;12/31/2019;;1;1968,72;1;1;1893;1968,72
N8;Agency Plant;Consulting;Auto;Master Agent N;NE;1.02.2019;1.08.2019;2019;49483556;NC;12/31/2019;;0;;1;1;4570;4981,3
N/A;Direct;Restaurants;BOP;N/A;SE;1.01.2019;1.12.2019;2019;59491200;DE;12/31/2019;;0;;1;1;2619;2592,81
L2;Agency Plant;Technology;BOP;Master Agent L;WE;1.11.2019;1.09.2019;2019;2090726;TX;12/31/2019;;0;;1;1;4606;3592,68
I3;Agency Plant;Restaurants;BOP;Master Agent I;SE;1.10.2019;1.10.2019;2019;91631841;IL;12/31/2019;;0;;1;1;9573;8232,78
N/A;Direct;Restaurants;Auto;N/A;CE;1.08.2019;1.11.2019;2019;17352846;SC;12/31/2019;;1;2108,88;1;1;2088;2108,88
C1;Agency Plant;Technology;BOP;Master Agent C;MW;1.04.2019;1.02.2019;2019;44454392;NY;12/31/2019;;1;1196,85;1;1;1515;1196,85
K4;Agency Plant;Wholesale Trade;BOP;Master Agent K;MW;1.02.2019;1.12.2019;2019;85291979;GA;12/31/2019;;0;;1;1;5150;4120
N/A;Other;Restaurants;WC;N/A;CE;1.08.2019;1.02.2019;2019;2938474;NC;12/31/2019;;1;10394,23;1;1;13499;10394,23
S3;Agency Plant;Restaurants;Auto;Master Agent S;WE;1.10.2019;1.07.2019;2019;85182669;NC;12/31/2019;;0;;1;1;13287;11426,82
J4;Agency Plant;Restaurants;Auto;Master Agent J;NE;1.05.2019;1.10.2019;2019;52761270;CT;12/31/2019;;1;12831,94;1;1;13651;12831,94
P2;Agency Plant;Retail Trade;BOP;Master Agent P;WE;1.11.2019;1.07.2019;2019;89601134;NC;12/31/2019;;0;;1;1;1619;1214,25
L5;Agency Plant;Retail Trade;WC;Master Agent L;WE;1.03.2019;1.12.2019;2019;6854809;TN;12/31/2019;;0;;1;1;1779;1956,9
N/A;Direct;Consulting;BOP;N/A;CE;1.12.2019;1.02.2019;2019;5256498;PA;12/31/2019;;0;;1;1;5728;6128,96
N/A;Direct;Wholesale Trade;BOP;N/A;SE;1.05.2019;1.06.2019;2019;79743736;MD;12/31/2019;;1;5080,45;1;1;5977;5080,45
N/A;Direct;Restaurants;BOP;N/A;NE;1.04.2019;1.11.2019;2019;86711517;OR;12/31/2019;;0;;1;1;2811;2220,69
N8;Agency Plant;Retail Trade;BOP;Master Agent N;CE;1.05.2019;1.10.2019;2019;104321098;TX;12/31/2019;;0;;1;1;7250;6162,5
N/A;Direct;Consulting;WC;N/A;NE;1.05.2019;1.08.2019;2019;5598960;VA;12/31/2019;;0;;1;1;916;870,2
N/A;Direct;Transportation;Auto;N/A;CE;1.06.2019;1.06.2019;2019;35822243;MA;12/31/2019;;0;;1;1;2452;1912,56
N/A;Direct;Real Estate;BOP;N/A;SE;1.09.2019;1.12.2019;2019;82223012;TN;12/31/2019;;0;;1;1;4222;3462,04
H2;Agency Plant;Other;BOP;Master Agent H;SE;1.12.2019;1.06.2019;2019;56302697;NJ;12/31/2019;;0;;1;1;2301;2093,91
H4;Agency Plant;Restaurants;Auto;Master Agent H;NE;1.06.2019;1.01.2019;2019;23932688;CT;12/31/2019;;0;;1;1;1965;1925,7
N/A;Direct;Retail Trade;BOP;N/A;NE;1.07.2019;1.10.2019;2019;16823867;CA;12/31/2019;;1;2576,56;1;1;2408;2576,56
N/A;Direct;Retail Trade;WC;N/A;NE;1.12.2019;1.05.2019;2019;42031642;IL;12/31/2019;;0;;1;1;2700;2511
N/A;Other;Restaurants;Auto;N/A;MW;1.02.2019;1.06.2019;2019;5563453;NC;12/31/2019;;0;;1;1;9769;9085,17
Q8;Agency Plant;Technology;BOP;Master Agent Q;WE;1.10.2019;1.09.2019;2019;53442085;TX;12/31/2019;;0;;1;1;3853;3814,47
I1;Agency Plant;Finance & Insurance;WC;Master Agent I;MW;1.12.2019;1.10.2019;2019;43733175;CT;12/31/2019;;0;;1;1;5109;4598,1
N/A;Other;Construction;BOP;N/A;WE;1.04.2019;1.03.2019;2019;9975730;CA;12/31/2019;;0;;1;1;7949;5961,75
P6;Agency Plant;Retail Trade;BOP;Master Agent P;WE;1.11.2019;1.03.2019;2019;2417454;CT;12/31/2019;;0;;1;1;2247;2404,29
N/A;Direct;Wholesale Trade;BOP;N/A;SE;1.03.2019;1.06.2019;2019;2344395;NJ;12/31/2019;;0;;1;1;7183;7398,49
A8;Agency Plant;Finance & Insurance;BOP;Master Agent A;CE;1.05.2019;1.06.2019;2019;106432132;WY;12/31/2019;;0;;1;1;4982;4184,88
R2;Agency Plant;Wholesale Trade;WC;Master Agent R;SE;1.12.2019;1.10.2019;2019;8473301;RI;12/31/2019;;1;4381,96;1;1;4763;4381,96
K2;Agency Plant;Restaurants;WC;Master Agent K;SE;1.08.2019;1.06.2019;2019;116591953;NM;12/31/2019;;0;;1;1;1638;1310,4
Z5;Agency Plant;Transportation;WC;Master Agent Z;CE;1.08.2019;1.09.2019;2019;104801114;TX;12/31/2019;;0;;1;1;3236;2685,88
I2;Agency Plant;Restaurants;BOP;Master Agent I;SE;1.10.2019;1.06.2019;2019;114422185;FL;12/31/2019;;0;;1;1;9797;9503,09
X3;Agency Plant;Finance & Insurance;WC;Master Agent X;SE;1.07.2019;1.09.2019;2019;86232862;SC;12/31/2019;;0;;1;1;3225;2676,75
C3;Agency Plant;Construction;WC;Master Agent C;NE;1.07.2019;1.11.2019;2019;109104172;PA;12/31/2019;;1;8599,4;1;1;9052;8599,4
M5;Agency Plant;Wholesale Trade;WC;Master Agent M;CE;1.05.2019;1.02.2019;2019;78701941;NY;12/31/2019;;1;6348,78;1;1;7838;6348,78
N/A;Direct;Retail Trade;BOP;N/A;SE;1.11.2019;1.09.2019;2019;44183456;CO;12/31/2019;;0;;1;1;7685;7147,05
N7;Agency Plant;Technology;Auto;Master Agent N;CE;1.10.2019;1.10.2019;2019;118853119;CA;12/31/2019;;1;1340,27;1;1;1327;1340,27
A7;Agency Plant;Restaurants;BOP;Master Agent A;NE;1.06.2019;1.05.2019;2019;1361747;VA;12/31/2019;;0;;1;1;2478;2106,3
C8;Agency Plant;Retail Trade;Auto;Master Agent C;SE;1.05.2019;1.09.2019;2019;74313797;SC;12/31/2019;;0;;1;1;6011;4868,91
N/A;Direct;Technology;WC;N/A;SE;1.10.2019;1.07.2019;2019;18653092;PA;12/31/2019;;1;1984,62;1;1;2046;1984,62
Q7;Agency Plant;Technology;WC;Master Agent Q;CE;1.01.2019;1.05.2019;2019;110841435;DC;12/31/2019;;1;1362,86;1;1;1642;1362,86
V6;Agency Plant;Retail Trade;BOP;Master Agent V;SE;1.12.2019;1.05.2019;2019;10089357;NC;12/31/2019;;0;;1;1;5624;5061,6
N/A;Direct;Wholesale Trade;BOP;N/A;CE;1.12.2019;1.10.2019;2019;64581993;SC;12/31/2019;;0;;1;1;7557;7028,01
L6;Agency Plant;Construction;BOP;Master Agent L;SE;1.02.2019;1.05.2019;2019;93481153;VA;12/31/2019;;0;;1;1;5197;5300,94
X1;Agency Plant;Finance & Insurance;WC;Master Agent X;NE;1.09.2019;1.05.2019;2019;27222640;WA;12/31/2019;;0;;1;1;3541;3434,77
E2;Agency Plant;Technology;BOP;Master Agent E;WE;1.09.2019;1.07.2019;2019;24281632;AL;12/31/2019;;0;;1;1;1426;1511,56
N/A;Other;Real Estate;BOP;N/A;SE;1.11.2019;1.10.2019;2019;53063796;GA;12/31/2019;;0;;1;1;3759;3909,36
A4;Agency Plant;Finance & Insurance;Auto;Master Agent A;MW;1.09.2019;1.08.2019;2019;87943133;SD;12/31/2019;;0;;1;1;862;853,38
N/A;Direct;Restaurants;WC;N/A;CE;1.10.2019;1.10.2019;2019;35893168;CT;12/31/2019;;1;7663,2;1;1;8240;7663,2
N/A;Other;Restaurants;WC;N/A;WE;1.10.2019;1.06.2019;2019;80063977;NY;12/31/2019;;0;;1;1;3338;3271,24
O2;Agency Plant;Consulting;BOP;Master Agent O;SE;1.12.2019;1.10.2019;2019;3158743;MI;12/31/2019;;0;;1;1;6057;5875,29
V7;Agency Plant;Restaurants;WC;Master Agent V;CE;1.11.2019;1.11.2019;2019;27952757;GA;12/31/2019;;0;;1;1;7265;7918,85
C1;Agency Plant;Finance & Insurance;Auto;Master Agent C;CE;1.02.2019;1.05.2019;2019;6857189;WI;12/31/2019;;0;;1;1;3543;3436,71
S8;Agency Plant;Retail Trade;Auto;Master Agent S;SE;1.02.2019;1.10.2019;2019;71844257;WA;12/31/2019;;0;;1;1;1012;1092,96
S8;Agency Plant;Consulting;Auto;Master Agent S;WE;1.12.2019;1.12.2019;2019;22574110;TX;12/31/2019;;1;6777,75;1;1;6455;6777,75
P7;Agency Plant;Finance & Insurance;Auto;Master Agent P;CE;1.12.2019;1.04.2019;2019;21932777;MD;12/31/2019;;0;;1;1;4535;3900,1
L7;Agency Plant;Technology;WC;Master Agent L;CE;1.11.2019;1.12.2019;2019;4672480;FL;12/31/2019;;1;2112,04;1;1;2779;2112,04
N/A;Other;Wholesale Trade;WC;N/A;NE;1.10.2019;1.12.2019;2019;5164118;FL;12/31/2019;;1;4237,95;1;1;4461;4237,95
X7;Agency Plant;Technology;BOP;Master Agent X;SE;1.04.2019;1.06.2019;2019;4781142;WA;12/31/2019;;0;;1;1;3154;2680,9
P1;Agency Plant;Consulting;Auto;Master Agent P;NE;1.01.2019;1.04.2019;2019;36132419;GA;12/31/2019;;0;;1;1;2559;2175,15
Q4;Agency Plant;Finance & Insurance;BOP;Master Agent Q;NE;1.10.2019;1.07.2019;2019;41091892;TN;12/31/2019;;1;2528,89;1;1;2779;2528,89
A5;Agency Plant;Technology;BOP;Master Agent A;CE;1.10.2019;1.06.2019;2019;11309587;TN;12/31/2019;;0;;1;1;4384;3594,88
N/A;Direct;Consulting;BOP;N/A;CE;1.02.2019;1.10.2019;2019;30612946;FL;12/31/2019;;0;;1;1;1348;1307,56
G1;Agency Plant;Technology;BOP;Master Agent G;WE;1.10.2019;1.01.2019;2019;5992271;SC;12/31/2019;;1;638,25;1;1;851;638,25
N/A;Direct;Retail Trade;BOP;N/A;SE;1.07.2019;1.10.2019;2019;4412697;FL;12/31/2019;;1;7160,92;1;1;7618;7160,92
A6;Agency Plant;Retail Trade;BOP;Master Agent A;SE;1.08.2019;1.09.2019;2019;11344198;SC;12/31/2019;;0;;1;1;6922;5676,04
Q8;Agency Plant;Real Estate;BOP;Master Agent Q;SE;1.02.2019;1.10.2019;2019;32484368;WV;12/31/2019;;0;;1;1;3366;2928,42
D3;Agency Plant;Finance & Insurance;BOP;Master Agent D;SE;1.02.2019;1.07.2019;2019;50773282;CT;12/31/2019;;1;1481,76;1;1;1372;1481,76
H5;Agency Plant;Restaurants;BOP;Master Agent H;NE;1.09.2019;1.04.2019;2019;90312359;MI;12/31/2019;;1;9337,5;1;1;10375;9337,5
N/A;Direct;Retail Trade;BOP;N/A;WE;1.10.2019;1.05.2019;2019;15931925;TX;12/31/2019;;0;;1;1;2871;2325,51
K2;Agency Plant;Agriculture;WC;Master Agent K;SE;1.01.2019;1.07.2019;2019;6104408;CA;12/31/2019;;0;;1;1;6996;7065,96
O6;Agency Plant;Consulting;WC;Master Agent O;SE;1.06.2019;1.09.2019;2019;69932839;NY;12/31/2019;;1;1600,56;1;1;1976;1600,56
N/A;Direct;Retail Trade;WC;N/A;NE;1.02.2019;1.07.2019;2019;55294545;GA;12/31/2019;;1;3682,25;1;1;3575;3682,25
Y3;Agency Plant;Agriculture;BOP;Master Agent Y;WE;1.10.2019;1.01.2019;2019;101032282;CA;12/31/2019;;0;;1;1;8597;8940,88
B7;Agency Plant;Wholesale Trade;BOP;Master Agent B;NE;1.07.2019;1.11.2019;2019;26814545;TX;12/31/2019;;1;6214,32;1;1;7672;6214,32
N/A;Other;Finance & Insurance;WC;N/A;NE;1.12.2019;1.01.2019;2019;62084487;WI;12/31/2019;;0;;1;1;2750;2502,5
N/A;Other;Real Estate;BOP;N/A;SE;1.10.2019;1.05.2019;2019;11231512;SC;12/31/2019;;0;;1;1;15505;12869,15
N/A;Direct;Agriculture;BOP;N/A;CE;1.12.2019;1.11.2019;2019;11432130;NY;12/31/2019;;0;;1;1;5260;3997,6
Q6;Agency Plant;Finance & Insurance;WC;Master Agent Q;WE;1.03.2019;1.01.2019;2019;5682445;WI;12/31/2019;;0;;1;1;2516;2113,44
N/A;Direct;Technology;BOP;N/A;NE;1.01.2019;1.10.2019;2019;9037767;NM;12/31/2019;;1;3012,36;1;1;3862;3012,36
X8;Agency Plant;Transportation;BOP;Master Agent X;SE;1.04.2019;1.09.2019;2019;61861585;CT;12/31/2019;;0;;1;1;4853;4270,64
L5;Agency Plant;Technology;WC;Master Agent L;NE;1.01.2019;1.01.2019;2019;9544410;WA;12/31/2019;;0;;1;1;1102;859,56
S1;Agency Plant;Technology;WC;Master Agent S;MW;1.05.2019;1.12.2019;2019;55842734;TX;12/31/2019;;0;;1;1;3111;2644,35
B7;Agency Plant;Real Estate;BOP;Master Agent B;CE;1.01.2019;1.06.2019;2019;55091635;VA;12/31/2019;;0;;1;1;2655;2070,9
X5;Agency Plant;Technology;WC;Master Agent X;SE;1.09.2019;1.01.2019;2019;14852379;CA;12/31/2019;;0;;1;1;803;610,28
N/A;Direct;Transportation;BOP;N/A;SE;1.03.2019;1.09.2019;2019;38821759;VT;12/31/2019;;0;;1;1;2922;2279,16
Z2;Agency Plant;Technology;BOP;Master Agent Z;CE;1.09.2019;1.10.2019;2019;41461617;VA;12/31/2019;;0;;1;1;3700;2849
N/A;Other;Retail Trade;BOP;N/A;CE;1.11.2019;1.02.2019;2019;48012725;SC;12/31/2019;;0;;1;1;2500;2675
A6;Agency Plant;Retail Trade;BOP;Master Agent A;WE;1.12.2019;1.03.2019;2019;100142593;CT;12/31/2019;;1;5479,18;1;1;5591;5479,18
N/A;Direct;Retail Trade;WC;N/A;SE;1.08.2019;1.06.2019;2019;58733074;TX;12/31/2019;;0;;1;1;1593;1433,7
H4;Agency Plant;Wholesale Trade;WC;Master Agent H;NE;1.11.2019;1.01.2019;2019;105011005;FL;12/31/2019;;0;;1;1;7452;5887,08
N/A;Direct;Retail Trade;WC;N/A;SE;1.08.2019;1.01.2019;2019;19083857;NC;12/31/2019;;1;1492,24;1;1;1622;1492,24
N/A;Other;Restaurants;Auto;N/A;CE;1.08.2019;1.07.2019;2019;117001097;CT;12/31/2019;;0;;1;1;2121;1718,01
N/A;Direct;Technology;BOP;N/A;NE;1.04.2019;1.10.2019;2019;36473839;NY;12/31/2019;;0;;1;1;4233;3894,36
F6;Agency Plant;Technology;WC;Master Agent F;SE;1.08.2019;1.10.2019;2019;3962401;NC;12/31/2019;;1;708,7;1;1;746;708,7
N/A;Direct;Technology;BOP;N/A;CE;1.04.2019;1.01.2019;2019;29863348;OR;12/31/2019;;0;;1;1;1934;1895,32
Z8;Agency Plant;Restaurants;WC;Master Agent Z;NE;1.02.2019;1.04.2019;2019;8079253;IN;12/31/2019;;0;;1;1;9987;8089,47
D8;Agency Plant;Real Estate;BOP;Master Agent D;SE;1.01.2019;1.03.2019;2019;4106784;CA;12/31/2019;;1;2650,24;1;1;2624;2650,24
N/A;Direct;Technology;WC;N/A;SE;1.02.2019;1.08.2019;2019;37392914;MD;12/31/2019;;0;;1;1;1579;1484,26
C5;Agency Plant;Transportation;WC;Master Agent C;CE;1.07.2019;1.08.2019;2019;2602894;NC;12/31/2019;;0;;1;1;3275;2620
N/A;Direct;Agriculture;BOP;N/A;SE;1.12.2019;1.02.2019;2019;104074260;OH;12/31/2019;;1;10546,42;1;1;10442;10546,42
Y7;Agency Plant;Retail Trade;Auto;Master Agent Y;SE;1.09.2019;1.09.2019;2019;58602663;CT;12/31/2019;;0;;1;1;7774;7540,78
N/A;Direct;Wholesale Trade;WC;N/A;SE;1.09.2019;1.11.2019;2019;25512287;TX;12/31/2019;;0;;1;1;9464;9937,2
P5;Agency Plant;Restaurants;BOP;Master Agent P;SE;1.10.2019;1.10.2019;2019;44464100;DC;12/31/2019;;0;;1;1;12680;12046
N/A;Direct;Agriculture;BOP;N/A;NE;1.02.2019;1.06.2019;2019;91434252;NJ;12/31/2019;;0;;1;1;11474;12621,4
I1;Agency Plant;Wholesale Trade;BOP;Master Agent I;CE;1.12.2019;1.10.2019;2019;95413098;TX;12/31/2019;;0;;1;1;6885;5645,7
